timestamp,vin,vehSpeed,vehRPM,vehSysPwrMod,vehGearPos,vehBrakePos,vehAccelPos,vehCoolantTemp,vehBMSPackSOC,vehBMSPackSOCV
2026-06-27 11:59:15.400272+00:00,MH01TEST0001,680.0,894.0,2,3.0,38.0,74.0,89.0,352.0,0.0
2026-06-27 11:59:25.400272+00:00,MH01TEST0001,509.0,1578.0,2,1.0,12.0,1.0,80.0,233.0,0.0
2026-06-27 11:59:35.400272+00:00,MH01TEST0001,408.0,1870.0,2,1.0,12.0,51.0,90.0,544.0,0.0
2026-06-27 11:59:45.400272+00:00,MH01TEST0001,215.0,1448.0,2,5.0,38.0,82.0,78.0,659.0,0.0
2026-06-27 11:59:55.400272+00:00,MH01TEST0001,246.0,2299.0,2,3.0,15.0,77.0,82.0,709.0,0.0
2026-06-27 12:00:05.400272+00:00,MH01TEST0001,32.0,2986.0,2,5.0,37.0,49.0,94.0,208.0,0.0
2026-06-27 12:00:15.400272+00:00,MH01TEST0001,60.0,1536.0,2,1.0,49.0,32.0,99.0,409.0,0.0
2026-06-27 12:00:25.400272+00:00,MH01TEST0001,13.0,2496.0,2,2.0,42.0,43.0,78.0,236.0,0.0
2026-06-27 12:00:35.400272+00:00,MH01TEST0001,140.0,969.0,2,3.0,40.0,56.0,97.0,452.0,0.0
2026-06-27 12:00:45.400272+00:00,MH01TEST0001,650.0,1816.0,2,1.0,6.0,60.0,83.0,216.0,0.0
2026-06-27 12:00:55.400272+00:00,MH01TEST0001,519.0,712.0,2,2.0,26.0,95.0,76.0,876.0,0.0
2026-06-27 12:16:05.400272+00:00,MH01TEST0001,629.0,2762.0,2,3.0,42.0,51.0,94.0,555.0,0.0
2026-06-27 12:16:15.400272+00:00,MH01TEST0001,253.0,2166.0,2,3.0,25.0,70.0,80.0,497.0,0.0
2026-06-27 12:16:25.400272+00:00,MH01TEST0001,191.0,2041.0,2,3.0,31.0,49.0,83.0,656.0,0.0
2026-06-27 12:16:35.400272+00:00,MH01TEST0001,633.0,1823.0,2,2.0,10.0,25.0,99.0,590.0,0.0
2026-06-27 12:16:45.400272+00:00,MH01TEST0001,701.0,792.0,2,2.0,9.0,24.0,89.0,435.0,0.0
2026-06-27 12:16:55.400272+00:00,MH01TEST0001,63.0,977.0,2,4.0,40.0,66.0,83.0,418.0,0.0
