VIN,timestamp,StartTime-Date,vehSpeed,vehSysPwrMod,vehGearPos,vehSteeringAngle,vehBrakePos,vehAccelPos,tboxAccelX,tboxAccelY,tboxAccelZ,vehBatt,vehOdo,vehCoolantTemp,vehOutsideTemp,vehInsideTemp,vehAC,vehACFanSpeed,vehSideLight,vehDipLight,vehMainLight,vehRainDetected,vehNightDetected,vehHorn,vehSeatBeltDrv,vehBrkFludLvlLow,vehABSF,frontLeftTyrePressure,frontRrightTyrePressure,rearLeftTyrePressure,rearRightTyrePressure,wheelTyreMonitorStatus,gnssLat,gnssLong,gnssAlt,gnssHead,gnssSats,_failure_type,_failure_intensity,vehBMSBscSta,vehBMSPackVol,vehBMSPackCrnt,vehBMSPackSOC,vehBMSPackSOCV,vehBMSCellMaxVol,vehBMSCellMinVol,vehBMSCellMaxTem,vehBMSCellMinTem,vehHVDCDCTem,vehBMSCMUFlt,vehBMSCellVoltFlt,vehBMSPackTemFlt,vehBMSHVILClsd,chargingGunIsConnected,vehIsCharging,dcOrAC,usedBatterySinceLastCharge,mileageSinceLastCharge,vehElecRange,vehTMInvtrTem,vehTMSttrTem,vehEPTRdy,vehRPM,FuelTankLevel,vehFuelConsumed,vehOilPressureWarning,vehMILWarning
MZ7XZSN00100000,2024-12-17 03:26:07+00:00,2024-12-17,22.6,2,3,-14.8,0.5,13.4,1.864,0.003,-0.103,14.08,91226.34,91.3,22.3,27.4,0,0,1,0,0,0,0,0,1,0,0,81.2,81.4,81.4,81.2,1,18.129326,74.335128,12.3,103.4,10,,0.0,3.0,338.9,6.68,0.0,0.0,3.3101,3.2911,27.4,23.2,40.0,0.0,0.0,0.0,1.0,0.0,0.0,,3734.701,10.36,0.0,35.9,40.9,1.0,,,,,
MZ7XZSN00100000,2024-10-02 02:08:50+00:00,2024-10-02,17.8,2,3,5.6,21.7,3.8,-4.908,0.005,0.059,14.05,77796.47,91.1,25.1,30.4,0,0,1,1,0,0,1,0,1,0,0,81.6,81.5,81.4,81.6,1,18.165267,74.406268,2.9,125.1,10,,0.0,3.0,339.2,5.28,0.0,0.0,3.3135,3.2913,27.5,23.1,40.8,0.0,0.0,0.0,1.0,0.0,0.0,,8785.215,25.98,0.0,34.9,39.6,1.0,,,,,
MZ7XZSN00100000,2024-06-03 12:42:28+00:00,2024-06-03,25.0,2,3,-0.5,0.0,7.5,0.159,0.007,-0.081,14.06,57596.81,84.7,33.9,33.6,1,3,1,0,0,0,0,0,1,0,0,82.4,82.4,82.5,82.4,1,18.113383,74.338856,7.9,152.0,11,,0.0,3.0,340.7,11.74,0.0,0.0,3.3112,3.2882,28.8,23.9,40.2,0.0,0.0,0.0,1.0,0.0,0.0,,1759.651,2.51,0.0,34.8,40.6,1.0,,,,,
MZ7XZSN00100000,2024-07-18 05:23:23+00:00,2024-07-18,35.7,2,3,19.7,6.0,10.4,-1.51,-0.01,0.064,14.16,64905.51,90.8,32.0,31.0,1,3,1,0,0,0,0,0,1,0,0,82.4,82.5,82.5,82.5,1,18.121372,74.352125,13.3,335.0,14,,0.0,3.0,339.6,14.94,0.0,0.0,3.3108,3.29,27.5,23.8,40.8,0.0,0.0,0.0,1.0,0.0,0.0,,6801.529,12.19,0.0,36.0,42.5,1.0,,,,,
MZ7XZSN00100000,2024-11-09 15:47:17+00:00,2024-11-09,20.7,2,3,6.0,0.0,21.9,6.283,0.02,-0.029,14.04,84509.73,68.4,22.5,27.2,0,0,1,1,0,0,1,0,1,0,0,81.2,81.3,81.3,81.3,1,18.121086,74.339128,10.4,66.8,11,,0.0,3.0,340.1,6.13,0.0,0.0,3.3136,3.2954,26.9,23.0,42.2,0.0,0.0,0.0,1.0,0.0,0.0,,257.746,0.71,0.0,34.2,39.4,1.0,,,,,
MZ7XZSN00100000,2024-05-20 16:16:49+00:00,2024-05-20,22.6,2,3,8.4,1.6,16.2,2.149,0.027,0.004,14.16,55053.89,76.6,33.8,33.9,1,3,1,1,0,0,1,0,1,0,0,82.4,82.4,82.6,82.3,1,18.125309,74.330561,9.4,176.6,13,,0.0,3.0,339.7,11.07,0.0,0.0,3.3137,3.2906,27.5,23.7,40.8,0.0,0.0,0.0,1.0,0.0,0.0,,930.065,1.08,0.0,36.6,41.6,1.0,,,,,
MZ7XZSN00100000,2024-06-01 15:40:40+00:00,2024-06-01,22.4,2,3,-17.1,0.4,16.8,1.917,0.001,0.019,14.08,57238.71,77.2,34.1,33.2,1,3,1,1,0,0,1,0,1,0,0,82.4,82.4,82.5,82.6,1,18.113297,74.33366,10.5,74.5,12,,0.0,3.0,341.3,10.96,0.0,0.0,3.3074,3.2869,28.9,24.6,39.5,0.0,0.0,0.0,1.0,0.0,0.0,,928.632,1.07,0.0,37.6,42.0,1.0,,,,,
MZ7XZSN00100000,2024-04-06 16:04:03+00:00,2024-04-06,12.2,2,3,-10.1,19.9,4.0,-4.8,0.027,-0.051,14.1,47337.24,91.5,31.4,29.8,1,2,1,1,0,0,1,0,1,0,0,82.2,82.1,82.2,82.1,1,18.114518,74.2835,7.5,101.7,13,,0.0,3.0,338.2,8.07,0.0,0.0,3.3078,3.2919,27.7,23.4,40.6,0.0,0.0,0.0,1.0,0.0,0.0,,9911.622,17.69,0.0,35.7,39.6,1.0,,,,,
MZ7XZSN00100000,2024-07-23 02:58:14+00:00,2024-07-23,18.9,2,3,1.6,1.1,3.4,-0.142,0.036,-0.121,14.02,65768.26,90.6,31.6,30.4,1,2,1,0,0,0,0,0,1,0,0,82.2,82.3,82.2,82.3,1,18.147091,74.354417,8.2,289.9,10,,0.0,3.0,339.7,9.99,0.0,0.0,3.3111,3.2941,26.9,23.3,40.2,0.0,0.0,0.0,1.0,0.0,0.0,,8552.606,13.26,0.0,36.2,41.5,1.0,,,,,
MZ7XZSN00100000,2024-04-29 13:50:17+00:00,2024-04-29,0.0,1,0,32.0,0.0,1.1,-0.0,0.011,0.068,14.16,51264.35,90.9,33.2,32.6,1,3,1,0,0,0,0,0,1,0,0,82.2,82.1,82.2,82.2,1,18.126888,74.329612,11.9,89.1,14,,0.0,3.0,341.8,4.39,0.0,0.0,3.3042,3.2886,27.7,24.0,39.8,0.0,0.0,0.0,1.0,0.0,0.0,,11070.516,16.41,0.0,34.7,40.0,1.0,,,,,
