VIN,timestamp,StartTime-Date,vehSpeed,vehSysPwrMod,vehGearPos,vehSteeringAngle,vehBrakePos,vehAccelPos,tboxAccelX,tboxAccelY,tboxAccelZ,vehBatt,vehOdo,vehCoolantTemp,vehOutsideTemp,vehInsideTemp,vehAC,vehACFanSpeed,vehSideLight,vehDipLight,vehMainLight,vehRainDetected,vehNightDetected,vehHorn,vehSeatBeltDrv,vehBrkFludLvlLow,vehABSF,frontLeftTyrePressure,frontRrightTyrePressure,rearLeftTyrePressure,rearRightTyrePressure,wheelTyreMonitorStatus,gnssLat,gnssLong,gnssAlt,gnssHead,gnssSats,_failure_type,_failure_intensity,vehRPM,FuelTankLevel,vehFuelConsumed,vehOilPressureWarning,vehMILWarning,vehBMSBscSta,vehBMSPackVol,vehBMSPackCrnt,vehBMSPackSOC,vehBMSPackSOCV,vehBMSCellMaxVol,vehBMSCellMinVol,vehBMSCellMaxTem,vehBMSCellMinTem,vehHVDCDCTem,vehBMSCMUFlt,vehBMSCellVoltFlt,vehBMSPackTemFlt,vehBMSHVILClsd,chargingGunIsConnected,vehIsCharging,dcOrAC,usedBatterySinceLastCharge,mileageSinceLastCharge,vehElecRange,vehTMInvtrTem,vehTMSttrTem,vehEPTRdy,VehSpeed,VehSysPwrMod,VehRPM,VehGearPos,VehSteeringAngle,VehBrakePos,VehAccelPos,VehAccelX,VehBatt,VehOdo,VehFuelConsumed,EnginOilLifePct,VehCoolantTemp,VehOutsideTemp,VehEngineOilTemp,BrakePadFrontMM,BrakePadRearMM,BrakeFluidPct,BMSPackVol,BMSPackCrnt,BMSPackSOC,BMSPackSOH,BMSCellMaxVol,BMSCellMinVol,BMSCellMaxTemp,BMSCellMinTemp,SOCValid,TyrePressureFL,TyrePressureFR,TyrePressureRL,TyrePressureRR,TyreTempFL,TyreTempFR,TyreTempRL,TyreTempRR,GNSSLat,GNSSLong,GNSSAlt,GNSSHead,GNSSSats
MZ7XASN00100026,1706017715,2024-01-23,23.3,2.0,3.0,-180.0,3.4,9.2,-1.145,-0.007,-0.004,14.11,74395.72,90.4,24.7,29.3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,81.6,81.5,81.5,81.4,1.0,18.964833,73.534632,8.6,138.4,8.0,,0.0,839.0,82.2,1.7829,0.0,0.0,3.0,170.8,13.67,0.0,0.0,3.3121,3.2916,27.6,23.8,41.9,0.0,0.0,0.0,1.0,0.0,0.0,,7586.165,23.01,0.0,37.7,42.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1715697226,2024-05-14,33.7,2.0,3.0,68.5,1.4,17.2,2.231,0.022,-0.071,14.15,80748.83,89.2,33.9,33.1,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,82.4,82.7,82.7,82.4,1.0,18.956253,73.519581,6.5,21.3,11.0,,0.0,1129.0,82.2,0.1841,0.0,0.0,3.0,169.6,28.75,0.0,0.0,3.3084,3.2944,29.4,25.9,42.0,0.0,0.0,0.0,1.0,0.0,0.0,,1957.047,2.05,0.0,39.2,42.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1706172214,2024-01-25,0.0,2.0,0.0,-78.6,1.9,0.0,0.0,-0.01,0.043,14.19,74499.27,86.1,24.3,29.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.3,81.3,81.2,81.4,1.0,18.957566,73.521696,4.8,108.5,10.0,,0.0,0.0,82.2,0.1769,0.0,0.0,3.0,178.6,0.0,28.4,0.0,3.5621,3.5491,26.6,22.9,40.2,0.0,0.0,0.0,1.0,0.0,0.0,,773.626,2.41,21.0,36.2,39.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1718788917,2024-06-19,28.3,2.0,3.0,94.4,1.3,16.5,2.52,0.012,-0.034,14.01,82639.5,90.6,33.4,32.1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.5,82.5,82.5,82.4,1.0,18.952016,73.532463,11.2,280.1,12.0,,0.0,1019.0,82.2,1.0522,0.0,0.0,3.0,169.2,25.65,0.0,0.0,3.3043,3.2871,29.7,25.6,41.9,0.0,0.0,0.0,1.0,0.0,0.0,,8420.028,11.49,0.0,38.7,44.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1704121386,2024-01-01,17.7,2.0,3.0,123.4,0.3,33.7,8.751,0.012,-0.123,14.06,73023.68,90.3,22.8,28.5,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,233.4,233.2,227.2,227.5,0.0,18.958788,73.529663,23.1,335.5,9.0,,0.0,613.0,82.2,0.7589,0.0,0.0,3.0,172.3,10.35,7.2,0.0,3.3785,3.3525,28.9,24.8,41.1,0.0,0.0,0.0,1.0,0.0,0.0,,3347.736,10.41,5.0,36.2,41.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1705724080,2024-01-20,2.1,2.0,3.0,180.0,0.0,9.4,3.052,-0.002,0.014,14.12,74264.08,88.9,23.9,29.2,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,81.4,81.4,81.3,81.3,1.0,18.957951,73.524011,16.2,153.3,8.0,,0.0,74.0,82.2,0.3513,0.0,0.0,3.0,177.1,1.17,21.1,0.0,3.5001,3.4803,27.6,23.5,39.2,0.0,0.0,0.0,1.0,0.0,0.0,,1484.409,4.7,15.0,34.6,40.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1719594200,2024-06-28,20.7,2.0,3.0,49.0,0.0,15.2,3.438,0.028,0.047,14.24,83053.31,91.2,33.7,32.3,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,82.4,82.3,82.5,82.3,1.0,18.956561,73.526385,6.2,302.1,9.0,,0.0,760.0,82.2,1.8758,0.0,0.0,3.0,171.5,20.82,0.0,0.0,3.3036,3.2831,28.5,24.7,41.0,0.0,0.0,0.0,1.0,0.0,0.0,,9278.969,18.86,0.0,39.5,43.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1707658341,2024-02-11,86.7,2.0,3.0,180.0,0.1,29.4,1.5,0.002,0.071,14.12,75274.4,91.3,25.8,26.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.2,82.4,82.3,82.3,1.0,18.952369,73.527614,14.5,96.4,8.0,,0.0,3044.0,82.2,0.8672,0.0,0.0,3.0,170.7,59.64,0.0,0.0,3.3077,3.2913,32.6,28.3,44.0,0.0,0.0,0.0,1.0,0.0,0.0,,4700.348,8.73,0.0,48.3,50.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1704618076,2024-01-07,0.0,2.0,0.0,-18.6,0.0,0.0,0.0,-0.021,-0.053,14.17,73392.28,91.3,22.9,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.1,81.3,81.0,81.2,1.0,18.957492,73.528715,30.1,296.6,10.0,,0.0,0.0,82.2,2.1342,0.0,0.0,3.0,169.6,0.0,1.6,0.0,3.3274,3.3058,26.6,22.7,39.8,0.0,0.0,0.0,1.0,0.0,0.0,,9239.775,28.11,1.0,36.1,38.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1705652241,2024-01-19,4.1,2.0,3.0,40.6,5.7,1.1,-1.064,0.022,-0.07,14.11,74214.62,90.7,23.9,30.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.4,81.4,81.3,81.3,1.0,18.955487,73.527381,-13.5,268.0,12.0,,0.0,104.0,82.2,0.4889,0.0,0.0,3.0,191.2,2.14,74.5,0.0,3.9832,3.9605,26.2,22.6,39.9,0.0,0.0,0.0,1.0,0.0,0.0,,2203.176,6.81,54.0,34.8,38.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
