vin,model_code,model_name,fuel_type,manufacture_year,dealer_code,dealer_name,dealer_city,region,home_lat,home_long,driver_profile,color,initial_odometer,battery_capacity_kwh,rated_range_km,fuel_tank_l,base_fuel_l100km
MZ7XZSN00100000,ZSEV,MG ZS EV,EV,2022,DL006,MG Motors Pune,Pune,West,18.114177347887647,74.33562235163676,delivery_driver,Nordic Blue,30197.0,50.3,461.0,,
MZ7XZSR00100001,ZSEV,MG ZS EV,EV,2024,DL007,MG Motors Kolkata,Kolkata,East,22.996764988848604,88.50386512008066,urban_commuter,Aurora Silver,6641.0,50.3,461.0,,
MZ7XZSN00100002,ZSEV,MG ZS EV,EV,2022,DL005,MG Motors Hyderabad,Hyderabad,South,16.943817256104175,78.81763117199257,urban_commuter,Glaze Red,37179.0,50.3,461.0,,
MZ7XZSM00100003,ZSEV,MG ZS EV,EV,2021,DL006,MG Motors Pune,Pune,West,18.79838349707376,73.55463870785196,highway_cruiser,Harbour Grey,186863.0,50.3,461.0,,
MZ7XHEM00100004,HECTOR,MG Hector,ICE,2021,DL004,MG Motors Chennai,Chennai,South,13.324762155907818,80.7375097324342,urban_commuter,Aurora Silver,55935.0,,,50.0,9.0
MZ7XHER00100005,HECTOR,MG Hector,ICE,2024,DL003,MG Motors Bangalore,Bangalore,South,12.945704926225934,77.31690934905089,aggressive,Starry Black,13302.0,,,50.0,9.0
MZ7XZSN00100006,ZSEV,MG ZS EV,EV,2022,DL008,MG Motors Ahmedabad,Ahmedabad,West,22.842366641382043,72.9122598013952,delivery_driver,Aurora Silver,30244.0,50.3,461.0,,
MZ7XHEM00100007,HECTOR,MG Hector,ICE,2021,DL007,MG Motors Kolkata,Kolkata,East,22.269908202475108,87.867362269751,urban_commuter,Nordic Blue,39506.0,,,50.0,9.0
MZ7XZSP00100008,ZSEV,MG ZS EV,EV,2023,DL007,MG Motors Kolkata,Kolkata,East,22.52891577553834,88.4287411959529,taxi_fleet,Pearl White,63095.0,50.3,461.0,,
MZ7XGLP00100009,GLOSTER,MG Gloster,ICE,2023,DL002,MG Motors Mumbai,Mumbai,West,19.344998857416023,73.01471832000058,eco_driver,Aurora Silver,28056.0,,,75.0,12.0
MZ7XHEP00100010,HECTOR,MG Hector,ICE,2023,DL001,MG Motors New Delhi,New Delhi,North,28.546717389232363,76.91458467281953,highway_cruiser,Glaze Red,46558.0,,,50.0,9.0
MZ7XZSR00100011,ZSEV,MG ZS EV,EV,2024,DL004,MG Motors Chennai,Chennai,South,12.873593757766685,80.4319165147269,urban_commuter,Pearl White,6255.0,50.3,461.0,,
MZ7XHER00100012,HECTOR,MG Hector,ICE,2024,DL005,MG Motors Hyderabad,Hyderabad,South,17.694020384666032,78.1569729199077,eco_driver,Glaze Red,8494.0,,,50.0,9.0
MZ7XGLP00100013,GLOSTER,MG Gloster,ICE,2023,DL001,MG Motors New Delhi,New Delhi,North,28.611044775103363,76.85231210271317,taxi_fleet,Aurora Silver,43025.0,,,75.0,12.0
MZ7XZSN00100014,ZSEV,MG ZS EV,EV,2022,DL004,MG Motors Chennai,Chennai,South,13.210282593118889,80.13181261055338,highway_cruiser,Harbour Grey,95137.0,50.3,461.0,,
MZ7XGLN00100015,GLOSTER,MG Gloster,ICE,2022,DL001,MG Motors New Delhi,New Delhi,North,28.375869961459518,77.66917637734772,elderly_cautious,Harbour Grey,25196.0,,,75.0,12.0
MZ7XZSP00100016,ZSEV,MG ZS EV,EV,2023,DL003,MG Motors Bangalore,Bangalore,South,12.5663909621535,77.99260239654384,highway_cruiser,Starry Black,55944.0,50.3,461.0,,
MZ7XGLR00100017,GLOSTER,MG Gloster,ICE,2024,DL004,MG Motors Chennai,Chennai,South,13.436614284092375,80.52851952983521,highway_cruiser,Candy White,17410.0,,,75.0,12.0
MZ7XZSN00100018,ZSEV,MG ZS EV,EV,2022,DL006,MG Motors Pune,Pune,West,18.66984660155482,73.44444432113988,eco_driver,Evanescent Purple,47270.0,50.3,461.0,,
MZ7XGLM00100019,GLOSTER,MG Gloster,ICE,2021,DL004,MG Motors Chennai,Chennai,South,12.683402967722552,80.3576445721777,aggressive,Glaze Red,94169.0,,,75.0,12.0
MZ7XGLR00100020,GLOSTER,MG Gloster,ICE,2024,DL003,MG Motors Bangalore,Bangalore,South,13.060915491481417,77.1128038710297,aggressive,Starry Black,15528.0,,,75.0,12.0
MZ7XHEM00100021,HECTOR,MG Hector,ICE,2021,DL008,MG Motors Ahmedabad,Ahmedabad,West,23.020706994354523,73.01782645497498,taxi_fleet,Pearl White,124991.0,,,50.0,9.0
MZ7XHEN00100022,HECTOR,MG Hector,ICE,2022,DL005,MG Motors Hyderabad,Hyderabad,South,17.400672402471535,78.42891146030505,urban_commuter,Glaze Red,32361.0,,,50.0,9.0
MZ7XZSP00100023,ZSEV,MG ZS EV,EV,2023,DL001,MG Motors New Delhi,New Delhi,North,28.218575741135442,77.37224009303982,hill_region,Starry Black,22300.0,50.3,461.0,,
MZ7XHEP00100024,HECTOR,MG Hector,ICE,2023,DL002,MG Motors Mumbai,Mumbai,West,18.687740945955895,73.2960118451376,taxi_fleet,Harbour Grey,62704.0,,,50.0,9.0
MZ7XGLP00100025,GLOSTER,MG Gloster,ICE,2023,DL002,MG Motors Mumbai,Mumbai,West,19.3882514720643,72.69713889282271,aggressive,Glaze Red,61450.0,,,75.0,12.0
MZ7XASN00100026,ASTOR,MG Astor,PHEV,2022,DL006,MG Motors Pune,Pune,West,18.956043570048962,73.52460781758202,aggressive,Candy White,72981.0,13.0,80.0,45.0,7.0
MZ7XHEM00100027,HECTOR,MG Hector,ICE,2021,DL001,MG Motors New Delhi,New Delhi,North,29.000792490878524,77.59344663969786,elderly_cautious,Harbour Grey,36198.0,,,50.0,9.0
MZ7XHEN00100028,HECTOR,MG Hector,ICE,2022,DL004,MG Motors Chennai,Chennai,South,12.95365772887371,79.86446666806151,taxi_fleet,Nordic Blue,98729.0,,,50.0,9.0
MZ7XHER00100029,HECTOR,MG Hector,ICE,2024,DL006,MG Motors Pune,Pune,West,18.851112672124906,73.51328431662449,hill_region,Starry Black,5570.0,,,50.0,9.0
