date,dealer_code,part_code,transaction_type,quantity,reference,stock_after
2025-07-08,DL001,OIL-5W30-4L,ISSUE,1,JO-DL001-20250708-4657,8
2025-07-08,DL006,HV-MODULE-MG,ISSUE,1,JO-DL006-20250708-1023,0
2025-07-08,DL006,OIL-5W30-4L,ISSUE,1,JO-DL006-20250708-6793,5
2025-07-08,DL008,THERMOSTAT-MG,ISSUE,1,JO-DL008-20250708-6902,0
2025-07-08,DL002,SPARK-PLUG-NGK,ISSUE,1,JO-DL002-20250708-5918,0
2025-07-08,DL008,TYRE-215-60-17,ISSUE,1,JO-DL008-20250708-9681,0
2025-07-09,DL005,BR-FLUID-DOT4,ISSUE,1,JO-DL005-20250709-5811,1
2025-07-09,DL005,BMS-FUSE-MG,ISSUE,1,JO-DL005-20250709-3623,1
2025-07-09,DL007,BR-FLUID-DOT4,ISSUE,1,JO-DL007-20250709-1249,5
2025-07-09,DL006,OIL-5W30-4L,ISSUE,1,JO-DL006-20250709-2633,4
2025-07-10,DL001,BR-PAD-R-MG,ISSUE,1,JO-DL001-20250710-8451,3
2025-07-10,DL004,TYRE-225-55-18,ISSUE,1,JO-DL004-20250710-6685,2
2025-07-10,DL004,OIL-FILTER-MG,ISSUE,1,JO-DL004-20250710-7479,26
2025-07-10,DL002,AIR-FILTER-MG,ISSUE,1,JO-DL002-20250710-7731,4
2025-07-10,DL002,WIPER-BLADE-MG,RECEIPT,10,PO-DL002-20250710-153,10
2025-07-10,DL006,WIPER-BLADE-MG,ISSUE,1,JO-DL006-20250710-3063,1
2025-07-10,DL008,OIL-5W30-4L,RECEIPT,12,PO-DL008-20250710-714,12
2025-07-10,DL002,OBD-HARNESS-MG,ISSUE,1,JO-DL002-20250710-5169,2
2025-07-10,DL001,OIL-5W30-4L,ISSUE,1,JO-DL001-20250710-9935,7
2025-07-11,DL005,BATT-12V-60AH,RECEIPT,2,PO-DL005-20250711-893,3
2025-07-11,DL006,BATT-12V-70AH,RECEIPT,2,PO-DL006-20250711-120,3
2025-07-11,DL001,OIL-FILTER-MG,RECEIPT,28,PO-DL001-20250711-651,28
2025-07-11,DL006,OIL-FILTER-MG,RECEIPT,28,PO-DL006-20250711-202,28
2025-07-11,DL008,BATT-12V-70AH,RECEIPT,2,PO-DL008-20250711-132,3
2025-07-11,DL007,BR-PAD-R-MG,ISSUE,1,JO-DL007-20250711-4868,3
2025-07-11,DL001,OIL-5W30-4L,ISSUE,1,JO-DL001-20250711-1488,6
2025-07-11,DL008,BATT-12V-60AH,RECEIPT,2,PO-DL008-20250711-435,2
2025-07-11,DL007,CABIN-FILTER-MG,RECEIPT,9,PO-DL007-20250711-618,10
2025-07-11,DL004,BR-FLUID-DOT4,RECEIPT,8,PO-DL004-20250711-132,8
2025-07-11,DL003,BATT-12V-70AH,RECEIPT,2,PO-DL003-20250711-645,2
2025-07-11,DL002,BATT-12V-70AH,RECEIPT,2,PO-DL002-20250711-186,3
2025-07-11,DL002,BATT-12V-60AH,RECEIPT,3,PO-DL002-20250711-762,3
2025-07-11,DL004,BATT-12V-70AH,RECEIPT,2,PO-DL004-20250711-798,3
2025-07-11,DL002,BR-FLUID-DOT4,RECEIPT,7,PO-DL002-20250711-943,8
2025-07-12,DL006,WIPER-BLADE-MG,RECEIPT,9,PO-DL006-20250712-248,10
2025-07-12,DL001,TYRE-215-60-17,ISSUE,1,JO-DL001-20250712-4963,3
2025-07-12,DL005,OIL-FILTER-MG,ISSUE,1,JO-DL005-20250712-1452,11
2025-07-12,DL001,THERMOSTAT-MG,ISSUE,1,JO-DL001-20250712-6328,1
2025-07-12,DL001,WIPER-BLADE-MG,ISSUE,1,JO-DL001-20250712-5127,6
2025-07-12,DL006,TYRE-225-55-18,ISSUE,1,JO-DL006-20250712-2635,2
2025-07-12,DL007,TYRE-215-60-17,ISSUE,1,JO-DL007-20250712-2467,1
2025-07-12,DL005,TYRE-215-60-17,ISSUE,1,JO-DL005-20250712-9757,2
2025-07-12,DL005,BR-FLUID-DOT4,RECEIPT,6,PO-DL005-20250712-348,7
2025-07-12,DL005,BR-PAD-R-MG,ISSUE,1,JO-DL005-20250712-4733,2
2025-07-12,DL008,BMS-FUSE-MG,ISSUE,1,JO-DL008-20250712-2870,1
2025-07-13,DL001,AIR-FILTER-MG,ISSUE,1,JO-DL001-20250713-8096,7
2025-07-13,DL002,SPARK-PLUG-NGK,RECEIPT,3,PO-DL002-20250713-709,3
2025-07-13,DL007,BR-PAD-F-MG,RECEIPT,4,PO-DL007-20250713-934,5
2025-07-13,DL008,BR-PAD-R-MG,RECEIPT,3,PO-DL008-20250713-223,4
2025-07-13,DL003,SPARK-PLUG-NGK,RECEIPT,3,PO-DL003-20250713-338,3
2025-07-13,DL006,HV-MODULE-MG,ISSUE,1,JO-DL006-20250713-2631,1
2025-07-13,DL007,COOLANT-1L,ISSUE,1,JO-DL007-20250713-9583,4
2025-07-13,DL005,BR-PAD-R-MG,RECEIPT,3,PO-DL005-20250713-472,3
2025-07-13,DL006,BR-PAD-R-MG,RECEIPT,4,PO-DL006-20250713-402,5
2025-07-13,DL006,BR-PAD-R-MG,ISSUE,1,JO-DL006-20250713-6445,4
2025-07-13,DL002,BR-PAD-R-MG,RECEIPT,4,PO-DL002-20250713-330,5
2025-07-13,DL008,BR-PAD-F-MG,RECEIPT,3,PO-DL008-20250713-616,4
