vin,ota_campaign_id,component,from_version,to_version,ota_start_time,ota_complete_time,ota_success
MZ7XZSN00100000,TBOX-2022-01,TBOX,1.2.3,1.3.0,2024-01-15T02:00:00,2024-01-15T02:17:00,True
MZ7XZSR00100001,TBOX-2024-01,TBOX,1.2.3,1.3.0,2024-01-15T02:00:00,2024-01-15T02:38:00,True
MZ7XZSN00100002,TBOX-2022-01,TBOX,1.2.3,1.3.0,2024-01-15T02:00:00,2024-01-15T02:17:00,True
MZ7XZSM00100003,TBOX-2021-01,TBOX,1.2.3,1.3.0,2024-01-15T02:00:00,2024-01-15T02:35:00,True
MZ7XHEM00100004,TBOX-2021-01,TBOX,1.2.3,1.3.0,2024-01-15T02:00:00,2024-01-15T02:37:00,True
MZ7XHER00100005,TBOX-2024-01,TBOX,1.2.3,1.3.0,2024-01-15T02:00:00,2024-01-15T02:37:00,True
MZ7XZSN00100006,TBOX-2022-01,TBOX,1.2.3,1.3.0,2024-01-15T02:00:00,2024-01-15T02:40:00,True
MZ7XHEM00100007,TBOX-2021-01,TBOX,1.2.3,1.3.0,2024-01-15T02:00:00,2024-01-15T02:28:00,True
MZ7XZSP00100008,TBOX-2023-01,TBOX,1.2.3,1.3.0,2024-01-15T02:00:00,2024-01-15T02:38:00,True
MZ7XGLP00100009,TBOX-2023-01,TBOX,1.2.3,1.3.0,2024-01-15T02:00:00,2024-01-15T02:34:00,True
