DealerCode,Region,CompanyCode,CreatedOn,CreatedOnTime,Zone,DealerName,DealerCity,LicensePlateNumber,VIN,Status,ServiceType,ModelSalesCode,ModelSalesCodeDescription,Color,Mileage,OrderItem,LabPart,MaterialGroup,DescriptionOne,OrderQuantity,UnitPrice,NetValue,Tax,TotalValue,GrossValue,KeyField,IssueType,WarrantyContribution,InsuranceContribution,DiscountContribution
DL006,West,MG001,2024-11-22,18:24:00,West,MG Motors Pune,Pune,MH76BA1520,MZ7XZSN00100000,CLOSED,TYRE_ROTATION,ZSEV,MG ZS EV,Nordic Blue,40000.0,6B8762C9-01,LAB,LABOUR,LABOUR TYRE,1.0,255.01,255.01,45.9,300.91,300.91,WO-6B8762C9,WTY,230.79,0.0,11.08
DL006,West,MG001,2024-11-22,18:24:00,West,MG Motors Pune,Pune,WB29BA5557,MZ7XZSN00100000,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Nordic Blue,40000.0,FC32E8D0-01,PART,FILTER,AIR FILTER,1.0,551.61,551.61,99.29,650.9,650.9,WO-FC32E8D0,WTY,460.81,0.0,6.47
DL006,West,MG001,2024-11-22,18:24:00,West,MG Motors Pune,Pune,WB44AC3547,MZ7XZSN00100000,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Nordic Blue,40000.0,FC32E8D0-02,PART,FILTER,CABIN FILTER,1.0,742.83,742.83,133.71,876.54,876.54,WO-FC32E8D0,WTY,615.29,0.0,35.32
DL006,West,MG001,2024-11-22,18:24:00,West,MG Motors Pune,Pune,WB13AC6635,MZ7XZSN00100000,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Nordic Blue,40000.0,FC32E8D0-03,PART,SPARE,WIPER BLADE,1.0,464.59,464.59,83.63,548.22,548.22,WO-FC32E8D0,WTY,509.32,0.0,2.8
DL006,West,MG001,2024-11-22,18:24:00,West,MG Motors Pune,Pune,MH49AA5803,MZ7XZSN00100000,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Nordic Blue,40000.0,FC32E8D0-04,LAB,LABOUR,TYRE CHECK LAB,1.0,481.12,481.12,86.6,567.72,567.72,WO-FC32E8D0,WTY,534.87,0.0,20.71
DL006,West,MG001,2024-11-22,18:24:00,West,MG Motors Pune,Pune,TN91AA1750,MZ7XZSN00100000,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Nordic Blue,40000.0,FC32E8D0-05,LAB,LABOUR,SW UPDATE LAB,1.0,831.76,831.76,149.72,981.48,981.48,WO-FC32E8D0,WTY,869.16,0.0,42.29
DL006,West,MG001,2024-11-22,18:24:00,West,MG Motors Pune,Pune,TN13BA5554,MZ7XZSN00100000,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Nordic Blue,40000.0,FC32E8D0-06,LAB,LABOUR,LABOUR FULL,1.0,1396.76,1396.76,251.42,1648.18,1648.18,WO-FC32E8D0,WTY,1535.97,0.0,81.19
DL006,West,MG001,2024-11-22,18:24:00,West,MG Motors Pune,Pune,MH78AB9751,MZ7XZSN00100000,CLOSED,HV_BATTERY_INSPECT,ZSEV,MG ZS EV,Nordic Blue,40000.0,66F1915F-01,LAB,LABOUR,DIAG HV BAT,1.0,1362.65,1362.65,245.28,1607.93,1607.93,WO-66F1915F,PAID,0.0,114.25,53.88
DL006,West,MG001,2024-11-22,18:24:00,West,MG Motors Pune,Pune,TN88AC1916,MZ7XZSN00100000,CLOSED,HV_BATTERY_INSPECT,ZSEV,MG ZS EV,Nordic Blue,40000.0,66F1915F-02,LAB,LABOUR,BMS CALIBRATE,1.0,1310.39,1310.39,235.87,1546.26,1546.26,WO-66F1915F,PAID,0.0,50.53,29.34
DL007,East,MG001,2024-03-24,23:24:00,East,MG Motors Kolkata,Kolkata,GJ28BA7482,MZ7XZSR00100001,CLOSED,TYRE_ROTATION,ZSEV,MG ZS EV,Aurora Silver,10000.0,B4B810D5-01,LAB,LABOUR,LABOUR TYRE,1.0,263.09,263.09,47.36,310.45,310.45,WO-B4B810D5,WTY,242.25,0.0,3.27
DL008,West,MG001,2024-11-29,23:24:00,West,MG Motors Ahmedabad,Ahmedabad,WB75BA6930,MZ7XZSR00100001,CLOSED,TYRE_ROTATION,ZSEV,MG ZS EV,Aurora Silver,20000.0,EF7CA54A-01,LAB,LABOUR,LABOUR TYRE,1.0,227.93,227.93,41.03,268.96,268.96,WO-EF7CA54A,WTY,248.38,0.0,7.25
DL007,East,MG001,2024-11-29,23:24:00,East,MG Motors Kolkata,Kolkata,MH20AB7916,MZ7XZSR00100001,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Aurora Silver,20000.0,1ECED510-01,PART,FILTER,AIR FILTER,1.0,552.86,552.86,99.51,652.37,652.37,WO-1ECED510,PAID,0.0,11.86,1.54
